Date,AAPL,AMZN,CAT,DUK,GOOG,JNJ,JPM,NUE,PG,XOM,^GSPC
2021-08-02,141.8459014892578,166.57400512695312,188.60324096679688,88.29708099365234,134.8821258544922,150.52957153320312,133.99429321289062,95.00054931640625,125.70845031738281,48.23564147949219,4387.16015625
2021-08-03,143.63943481445312,168.31199645996094,191.6737060546875,88.64630889892578,135.17025756835938,152.38198852539062,135.51885986328125,99.27220916748047,127.54248046875,48.75501251220703,4423.14990234375
2021-08-04,143.23976135253906,167.73599243164062,188.01486206054688,88.74608612060547,134.92079162597656,151.4820098876953,134.0563507080078,97.62496948242188,126.19577026367188,47.615726470947266,4402.66015625
2021-08-05,143.34703063964844,168.79949951171875,190.46942138671875,89.74388122558594,135.82485961914062,151.7703399658203,135.7493133544922,94.47005462646484,126.25776672363281,47.91728973388672,4429.10009765625
2021-08-06,142.66363525390625,167.2469940185547,191.53582763671875,88.93731689453125,135.92010498046875,151.26356506347656,139.6051025390625,97.07586669921875,125.29202270507812,48.47018814086914,4436.52001953125
2021-08-09,142.6148681640625,167.093505859375,192.03224182128906,88.26380157470703,136.87823486328125,151.78785705566406,139.4544219970703,100.30522918701172,125.97427368164062,47.91728973388672,4432.35009765625
2021-08-10,142.13648986816406,166.03399658203125,196.79417419433594,88.88743591308594,136.9719696044922,151.84030151367188,141.1651153564453,109.90950775146484,126.05400848388672,48.738258361816406,4436.75
2021-08-11,142.3903350830078,164.60549926757812,203.7716522216797,89.08700561523438,136.5682830810547,151.86648559570312,142.84922790527344,114.2091064453125,126.36409759521484,48.88066864013672,4442.41015625
2021-08-12,145.34825134277344,165.1750030517578,202.4662322998047,88.69676971435547,137.26255798339844,153.08981323242188,143.40760803222656,116.55432891845703,126.65646362304688,48.770118713378906,4460.830078125
2021-08-13,145.5532684326172,164.69850158691406,200.9310302734375,88.95692443847656,137.27894592285156,154.0072784423828,141.80335998535156,117.41983032226562,127.267822265625,48.27688980102539,4468.0
2021-08-16,147.5252227783203,164.94949340820312,200.14044189453125,90.47589874267578,137.78477478027344,155.39663696289062,140.87265014648438,115.6609115600586,128.15386962890625,47.57106018066406,4479.7099609375
2021-08-17,146.61734008789062,162.09800720214844,196.2150115966797,90.3919677734375,136.18246459960938,156.8209686279297,139.17074584960938,111.27755737304688,128.3665008544922,47.247920989990234,4448.080078125
2021-08-18,142.87844848632812,160.06100463867188,192.87794494628906,89.83810424804688,135.4578857421875,154.82867431640625,137.90321350097656,112.39434051513672,126.96661376953125,46.252952575683594,4400.27001953125
2021-08-19,143.21034240722656,159.3874969482422,187.95053100585938,89.69544982910156,135.79859924316406,156.03448486328125,136.75094604492188,109.28598022460938,128.4639892578125,44.84129333496094,4405.7998046875
2021-08-20,144.66490173339844,159.99749755859375,188.4010009765625,89.97237396240234,137.3096923828125,156.79470825195312,137.14097595214844,108.34602355957031,128.55255126953125,44.84981155395508,4441.669921875
2021-08-23,146.1487579345703,163.2935028076172,192.2620849609375,88.81423950195312,139.9505157470703,156.1178741455078,138.89598083496094,111.51953887939453,127.89692687988281,46.695159912109375,4479.52978515625
2021-08-24,146.06088256835938,165.28900146484375,195.43360900878906,88.24358367919922,141.23892211914062,154.16653442382812,139.75576782226562,114.70234680175781,126.86028289794922,47.07783889770508,4486.22998046875
2021-08-25,144.8308563232422,164.95899963378906,197.42848205566406,88.43660736083984,141.78594970703125,153.14688110351562,142.6365203857422,111.64051818847656,126.40840148925781,47.16286849975586,4496.18994140625
2021-08-26,144.03038024902344,165.8000030517578,194.19256591796875,87.99183654785156,140.96566772460938,152.3294219970703,143.37222290039062,109.87227630615234,126.18689727783203,46.52507781982422,4470.0
2021-08-27,145.065185546875,167.48150634765625,195.6542205810547,87.84075164794922,143.3734130859375,152.00424194335938,144.5244903564453,111.53813934326172,126.0894546508789,47.42649459838867,4509.3701171875
2021-08-30,149.47763061523438,171.07850646972656,194.38560485839844,87.94147491455078,144.28492736816406,152.64584350585938,142.2110595703125,112.64562225341797,126.63875579833984,46.90775680541992,4528.7900390625
2021-08-31,148.21829223632812,173.5395050048828,193.8524169921875,87.83236694335938,144.27749633789062,152.17999267578125,141.77671813964844,109.40697479248047,126.16032409667969,46.3635139465332,4522.68017578125
